		with 2381 symbols, 201 words and 624 tokens processed in 5.65341854095459 sec
		with 2381 symbols, 201 words and 550 tokens processed in 7.786833763122559 sec
		with 2381 symbols, 201 words and 647 tokens processed in 4.242664813995361 sec
		with 2381 symbols, 201 words and 585 tokens processed in 4.108275890350342 sec
		with 2381 symbols, 201 words and 624 tokens processed in 5.903611660003662 sec
		with 2381 symbols, 201 words and 550 tokens processed in 7.652042627334595 sec
		with 2381 symbols, 201 words and 647 tokens processed in 4.273153781890869 sec
		with 2381 symbols, 201 words and 585 tokens processed in 4.072905540466309 sec
		with 6679 symbols, 764 words and 1932 tokens processed in 9.251072406768799 sec
		with 6679 symbols, 764 words and 1778 tokens processed in 15.542186260223389 sec
		with 6679 symbols, 764 words and 2007 tokens processed in 9.661962747573853 sec
		with 6679 symbols, 764 words and 1908 tokens processed in 8.030878067016602 sec
Task - run_and_load
	Model: mt5_summary,	computing using cuda:0
		Document: 7321			with 13320 symbols, 1558 words and 3618 tokens processed in 6.669788837432861 sec
		Document: 7320			with 25075 symbols, 3140 words and 6993 tokens processed in 12.05360460281372 sec
		Document: 7319			with 26099 symbols, 3293 words and 7260 tokens processed in 10.623624086380005 sec
		Document: 7318			with 10118 symbols, 1292 words and 2828 tokens processed in 5.640241384506226 sec
		Document: 7317			with 24921 symbols, 2956 words and 6654 tokens processed in 9.005540370941162 sec
		Document: 7316			with 19231 symbols, 2486 words and 5588 tokens processed in 9.927689790725708 sec
		Document: 7315			with 25450 symbols, 3220 words and 7676 tokens processed in 10.586715936660767 sec
		Document: 7314			with 19187 symbols, 2486 words and 5601 tokens processed in 10.594520330429077 sec
		Document: 7313			with 12377 symbols, 1540 words and 3566 tokens processed in 7.233680963516235 sec
		Document: 7312			with 9623 symbols, 1242 words and 2809 tokens processed in 4.79330587387085 sec
		Document: 7311			with 9869 symbols, 1331 words and 2897 tokens processed in 4.425694942474365 sec
		Document: 7310			with 7788 symbols, 994 words and 2290 tokens processed in 4.685397624969482 sec
		Document: 7309			with 9237 symbols, 1140 words and 2704 tokens processed in 5.888418436050415 sec
		Document: 7308			with 19364 symbols, 2507 words and 5705 tokens processed in 7.838947534561157 sec
		Document: 7307			with 27284 symbols, 3286 words and 7424 tokens processed in 11.877469301223755 sec
		Document: 7306			with 26843 symbols, 2913 words and 7652 tokens processed in 9.479109525680542 sec
		Document: 7305			with 22637 symbols, 3060 words and 6305 tokens processed in 9.470644474029541 sec
		Document: 7304			with 11714 symbols, 1540 words and 3545 tokens processed in 7.947319269180298 sec
		Document: 7303			with 6388 symbols, 757 words and 1885 tokens processed in 2.7180840969085693 sec
		Document: 7302			with 8713 symbols, 1052 words and 2608 tokens processed in 5.27998948097229 sec
		Document: 7301			with 11702 symbols, 1505 words and 3433 tokens processed in 5.713212251663208 sec
		Document: 7300			with 9569 symbols, 1077 words and 2550 tokens processed in 5.639706373214722 sec
		Document: 7299			with 21377 symbols, 2557 words and 5794 tokens processed in 9.600135326385498 sec
		Document: 7298			with 26882 symbols, 3275 words and 7896 tokens processed in 7.6272547245025635 sec
		Document: 7297			with 16818 symbols, 2156 words and 4941 tokens processed in 7.109605073928833 sec
		Document: 7296			with 12738 symbols, 1742 words and 3615 tokens processed in 6.659392356872559 sec
		Document: 7295			with 34912 symbols, 4591 words and 10970 tokens processed in 13.692810773849487 sec
		Document: 7294			with 13391 symbols, 1693 words and 3765 tokens processed in 4.908847332000732 sec
		Document: 7293			with 6428 symbols, 743 words and 1891 tokens processed in 2.6463570594787598 sec
		Document: 7292			with 10264 symbols, 1378 words and 2931 tokens processed in 4.29175591468811 sec
		Document: 7291			with 8526 symbols, 1091 words and 2516 tokens processed in 3.7744624614715576 sec
		Document: 7290			with 10131 symbols, 1265 words and 2900 tokens processed in 5.451786756515503 sec
		Document: 7289			with 43408 symbols, 5503 words and 13179 tokens processed in 14.792269468307495 sec
		Document: 7288			with 11271 symbols, 1429 words and 3117 tokens processed in 5.522832870483398 sec
